upc,name,price,size,brand,description,category_name,category_id,scraped_timestamp
68826756208,Giant Washed & Ready To Eat Broccoli Florets,2.99,12 OZ BAG,Our Brand,,Produce,2098,2025-06-19T16:30:23.271874
68826704269,Giant Rainbow Bell Peppers,3.99,3 CT PKG,Our Brand,,Produce,2098,2025-06-19T16:30:23.272874
68826705797,Giant Grape Tomatoes,2.99,1 DRY PINT,Our Brand,,Produce,2098,2025-06-19T16:30:23.273875
4664,Tomatoes On The Vine,0.67,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:23.274876
68826713315,Giant Whole Carrots,1.99,2 LB BAG,Our Brand,,Produce,2098,2025-06-19T16:30:23.274876
68826708353,Giant Yellow Onions,2.99,3 LB BAG,Our Brand,,Produce,2098,2025-06-19T16:30:23.275877
7143001065,Dole Shredded Iceburg Lettuce,2.69,8 OZ BAG,Dole,,Produce,2098,2025-06-19T16:30:23.276878
4036,Yellow Nectarines,1.99,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:23.277879
4023,Seedless Red Grapes,8.97,APX 2.25 LB,USDA Produce,,Produce,2098,2025-06-19T16:30:23.277879
4017,Granny Smith Apples,1.7,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:23.278880
94131,Nature's Promise Organic Fuji Apples,1.34,1 EA,Nature's Promise,,Produce,2098,2025-06-19T16:30:23.279881
4129,Fuji Apples,1.52,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:23.280882
7143000806,Dole Classic Caesar Salad Kit,3,10 OZ BAG,Dole,,Produce,2098,2025-06-19T16:30:23.280882
4022,Seedless Green Grapes,8.97,APX 2.25 LB,USDA Produce,,Produce,2098,2025-06-19T16:30:23.281883
4662,Shallots,0.69,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:23.282883
68826704735,Nature's Promise Organic Baby Carrots,1.89,1 LB BAG,Nature's Promise,,Produce,2098,2025-06-19T16:30:23.283884
3507,Cosmic Crisp Apples,1.13,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:23.283884
4130,Pink Lady Apples,1.91,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:23.284885
7143001702,Dole Premium Ultimate Caesar Salad Kit,2.99,11.3 OZ BAG,Dole,,Produce,2098,2025-06-19T16:30:23.285886
3423,Variety Heirloom Tomatoes,1.82,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:23.286887
68826715453,Nature's Promise Organic Baby Spinach,3.79,5 OZ PKG,Nature's Promise,,Produce,2098,2025-06-19T16:30:23.286887
7143000084,Dole Chopped Caesar Salad Kit,2.99,10.6 OZ BAG,Dole,,Produce,2098,2025-06-19T16:30:23.287888
68826707189,Giant Cut Celery Sticks,2.99,16 OZ PKG,Our Brand,,Produce,2098,2025-06-19T16:30:25.208157
4612,Ginger Root,0.94,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:25.210167
88577303202,Seedless Cucumbers - 3 ct,5,3 CT PKG,USDA Produce,,Produce,2098,2025-06-19T16:30:25.210167
4901,Flat-Leaf Italian Parsley,1.29,1 BUNCH,USDA Produce,,Produce,2098,2025-06-19T16:30:25.211162
68826713790,Giant Seedless Navel Oranges,4.99,4 LB BAG,Our Brand,,Produce,2098,2025-06-19T16:30:25.212163
75166641405,NatureSweet Constellation Cherry & Grape Tomatoes,4.99,16.5 OZ PKG,NatureSweet,,Produce,2098,2025-06-19T16:30:25.213164
7143001066,Dole Classic Coleslaw,2.69,14 OZ BAG,Dole,,Produce,2098,2025-06-19T16:30:25.214164
750301578010,Blueberries,6.99,18 OZ PKG,USDA Produce,,Produce,2098,2025-06-19T16:30:25.214164
75166610305,NatureSweet Glorys Cherry Tomatoes,2.99,10 OZ PKG,NatureSweet,,Produce,2098,2025-06-19T16:30:25.215165
68826714900,Giant Matchstix Carrots (Shredded Carrots),2.49,10 OZ BAG,Our Brand,,Produce,2098,2025-06-19T16:30:25.216166
75166677605,NatureSweet Cherubs Salad Grape Tomatoes,5.99,24 OZ PKG,NatureSweet,,Produce,2098,2025-06-19T16:30:25.217167
68826703190,Giant Russet Potatoes,4.99,5 LB BAG,Our Brand,,Produce,2098,2025-06-19T16:30:25.217167
4019,Mcintosh Apples,0.76,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:25.218168
4663,White Onions,1.44,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:25.219169
4079,Cauliflower,2.89,1 HEAD,USDA Produce,,Produce,2098,2025-06-19T16:30:25.220179
84043710072,Seedless Red Grapes,6.99,APX 2 LB,USDA Produce,,Produce,2098,2025-06-19T16:30:25.220179
84043710063,Seedless Green Grapes,6.99,APX 2 LB,USDA Produce,,Produce,2098,2025-06-19T16:30:25.221172
4416,Anjou Pears,1.21,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:25.222174
7143000035,Dole Chopped Sesame Asian Salad Kit,2.99,12.25 OZ BAG,Dole,,Produce,2098,2025-06-19T16:30:25.223174
3338353303,Giant Yellow Potatoes,3.99,3 LB BAG,Our Brand,,Produce,2098,2025-06-19T16:30:25.223174
3421,Seedless Mini Watermelon,4.49,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:25.224175
4069,Green Cabbage,3.5,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:25.225176
4016,Red Delicious Apples,1.41,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:25.226177
68826759342,Giant Honeycrisp Apples,9.99,4 LB BAG,Our Brand,,Produce,2098,2025-06-19T16:30:25.226177
81884902001,Zespri Sungold Golden Kiwi,4.99,16 OZ PKG,Zespri,,Produce,2098,2025-06-19T16:30:25.227178
68826710885,Giant Seedless Mandarin Oranges,5.99,3 LB BAG,Our Brand,,Produce,2098,2025-06-19T16:30:25.228179
7143000964,Dole Baby Spinach,3,5 OZ BAG,Dole,,Produce,2098,2025-06-19T16:30:25.229180
68826704392,Giant Peeled Baby Cut Carrots,2.39,2 LB BAG,Our Brand,,Produce,2098,2025-06-19T16:30:25.229180
68826755002,Giant Broccoli Florets Family Size,6.49,32 OZ BAG,Our Brand,,Produce,2098,2025-06-19T16:30:25.230189
68826759235,Giant Trimmed Sweet Corn,4.49,5 CT PKG,Our Brand,,Produce,2098,2025-06-19T16:30:25.231183
7143000034,Dole Chopped Sunflower Crunch Salad Kit,2.99,12.2 OZ BAG,Dole,,Produce,2098,2025-06-19T16:30:25.232184
68826712403,Lemons,4.49,2 LB BAG,USDA Produce,,Produce,2098,2025-06-19T16:30:25.233186
68826714086,Giant Fresh Cut Brussels Sprouts,2.99,12 OZ PKG,Our Brand,,Produce,2098,2025-06-19T16:30:25.233186
68826704350,Giant Celery Hearts,2.79,16 OZ PKG,Our Brand,,Produce,2098,2025-06-19T16:30:25.234186
68826715447,Nature's Promise Organic Baby Arugula,3.79,5 OZ PKG,Nature's Promise,,Produce,2098,2025-06-19T16:30:25.235187
68826757253,Giant Salad Shreds Shredded Iceburg Lettuce Family Size,2.49,16 OZ BAG,Our Brand,,Produce,2098,2025-06-19T16:30:25.236188
85739400610,Little Leaf Farms Baby Crispy Green Leaf Lettuce,3,4 OZ PKG,Little Leaf Farms,,Produce,2098,2025-06-19T16:30:25.236188
3125,Habanero Peppers,0.1,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:25.237189
82608858615,Giant Mini Yellow Potatoes,3.99,1.5 LB BAG,Our Brand,,Produce,2098,2025-06-19T16:30:25.238190
85854500121,Giant Rainbow Bell Peppers,6.99,6 CT BAG,Our Brand,,Produce,2098,2025-06-19T16:30:25.239191
62930712334,The Little Potato Co. Little Yellows Fresh Potatoes,3.99,1.5 LB BAG,The Little Potato Co.,,Produce,2098,2025-06-19T16:30:29.841472
68826713495,Giant Sliced White Mushrooms,3.99,16 OZ PKG,Our Brand,,Produce,2098,2025-06-19T16:30:29.842534
4073,Red Potatoes,0.57,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:29.843526
20413700000,Eastern Golden Delicious Apples,1.07,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:29.844527
93283,Organic Honeycrisp Apples,3.05,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:29.844527
68826704936,Nature's Promise Organic Extra Firm Tofu,2.29,14 OZ PKG,Nature's Promise,,Produce,2098,2025-06-19T16:30:29.845528
7143000956,Dole Hearts of Romaine Salad,3,9 OZ BAG,Dole,,Produce,2098,2025-06-19T16:30:29.846528
859555001419,RealSweet Sweet Onions,3.49,3 LB BAG,RealSweet,,Produce,2098,2025-06-19T16:30:29.847529
20441300000,Bosc Pears,0.95,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:29.848530
68826705452,Nature's Promise Organic Green Beans,3.99,10 OZ BAG,Nature's Promise,,Produce,2098,2025-06-19T16:30:29.848530
68826705309,Giant Pre-Washed Kale Greens,2.79,16 OZ BAG,Our Brand,,Produce,2098,2025-06-19T16:30:29.849531
68826719910,Nature's Promise Organic Basil Leaves,2.29,0.50 OZ PKG,Nature's Promise,,Produce,2098,2025-06-19T16:30:29.850532
68826715457,Nature's Promise Organic Baby Spinach,6.99,16 OZ PKG,Nature's Promise,,Produce,2098,2025-06-19T16:30:29.851533
7143000091,Dole Chopped Avocado Ranch Salad Kit,2.99,11.3 OZ BAG,Dole,,Produce,2098,2025-06-19T16:30:29.851533
85706200460,BrightFarms Sunny Crunch Lettuce,3.79,4 OZ PKG,BrightFarms,,Produce,2098,2025-06-19T16:30:29.852586
68826701143,Giant Salad Blends Butter Lettuce,2.99,7 OZ BAG,Our Brand,,Produce,2098,2025-06-19T16:30:29.853579
4043710156,Cotton Candy Grapes,5.99,1 LB PKG,USDA Produce,,Produce,2098,2025-06-19T16:30:29.853579
852761000850,Mini Avocados,5.99,6 CT BAG,USDA Produce,,Produce,2098,2025-06-19T16:30:29.854580
3616,Envy Apples,1.82,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:29.855581
68826700271,Giant Red Potatoes,3.99,3 LB BAG,Our Brand,,Produce,2098,2025-06-19T16:30:29.856582
7774529186,Giant Chicken Caesar Salad Bowl with Caesar Dressing,4.49,6.25 OZ BWL,Our Brand,,Produce,2098,2025-06-19T16:30:29.856582
71575610004,Organic Raspberries,5.99,6 OZ PKG,USDA Produce,,Produce,2098,2025-06-19T16:30:29.857582
7143000933,Dole American Salad Blend,3,12 OZ BAG,Dole,,Produce,2098,2025-06-19T16:30:29.858583
2400050793,Del Monte No Sugar Added Red Grapefruit in Sweetened Water Fruit Cup,1.67,6.5 OZ CUP,Del Monte,,Produce,2098,2025-06-19T16:30:29.859584
68925900492,Nature Fresh Farms Ombre Cherry Tomatoes On The Vine,5.99,12 OZ PKG,Nature Fresh Farms,,Produce,2098,2025-06-19T16:30:29.859584
4627,Curly Kale,1.53,1 BUNCH,USDA Produce,,Produce,2098,2025-06-19T16:30:29.860585
4891,Dill Fresh,1.99,1 BUNCH,USDA Produce,,Produce,2098,2025-06-19T16:30:29.861586
68826701108,Giant Salad Basics Chopped Romaine,2.99,10 OZ BAG,Our Brand,,Produce,2098,2025-06-19T16:30:29.862527
4727,Yellow Potatoes,0.82,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:29.863520
68826754974,Giant Shredded Red Cabbage,1.79,8 OZ BAG,Our Brand,,Produce,2098,2025-06-19T16:30:29.863520
20501690000,Giant Watermelon Chunks,3.5,APX 1/2 LB,Our Brand,,Produce,2098,2025-06-19T16:30:29.864521
3294,Jazz Apples,1.39,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:29.865522
81004159059,Giant Medium Chunky Guacamole,5,14 OZ TUB,Fresh Innovations,,Produce,2098,2025-06-19T16:30:29.866523
85739400617,Little Leaf Farms Sweet Baby Butter Leaf,3,4 OZ PKG,Little Leaf Farms,,Produce,2098,2025-06-19T16:30:29.866523
4235,Ripe Plantains,0.5,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:29.867524
68826714508,Giant Fresh Trimmed & Washed Green Beans Family Size,6.29,32 OZ BAG,Our Brand,,Produce,2098,2025-06-19T16:30:29.868525
74183900683,Stemilt Artisan Organics Gala Apples,8.99,5 LB BAG,Stemilt,,Produce,2098,2025-06-19T16:30:29.868525
71651909001,Broccolini (Baby Broccoli),2.99,1 HEAD,USDA Produce,,Produce,2098,2025-06-19T16:30:29.869525
68826756286,Giant Steam Easy Petite Sweet Potatoes Microwavable Bag,2.99,1.5 LB BAG,Our Brand,,Produce,2098,2025-06-19T16:30:29.870526
68826718443,Giant Classics Garden Salad Mix,1.69,12 OZ BAG,Our Brand,,Produce,2098,2025-06-19T16:30:29.871527
68826701155,Giant Salad Basics Baby Arugula,2.99,5 OZ BAG,Our Brand,,Produce,2098,2025-06-19T16:30:32.434729
85706200441,BrightFarms Spring Mix Lettuce Blend,3.79,4 OZ BAG,BrightFarms,,Produce,2098,2025-06-19T16:30:32.435730
7774529188,Giant Santa Fe Salad Bowl,4.49,6.25 OZ BWL,Our Brand,,Produce,2098,2025-06-19T16:30:32.436731
68826753400,Nature's Promise Minced Garlic,2.99,8 OZ JAR,Nature's Promise,,Produce,2098,2025-06-19T16:30:32.437732
68826754782,Nature's Promise Organic Romaine Hearts Lettuce - 3 ct,4.49,12 OZ BAG,Nature's Promise,,Produce,2098,2025-06-19T16:30:32.438732
7143000925,Dole Classic Light Caesar Salad Kit,3,10 OZ BAG,Dole,,Produce,2098,2025-06-19T16:30:32.439733
74183900676,Cosmic Crisp Apples,8.99,4 LB BAG,USDA Produce,,Produce,2098,2025-06-19T16:30:32.439733
68826753534,Nature's Promise Organic Whole Carrots,2.99,2 LB BAG,Nature's Promise,,Produce,2098,2025-06-19T16:30:32.440734
7143001073,Dole Premium Endless Summer Salad Kit,2.99,13 OZ BAG,Dole,,Produce,2098,2025-06-19T16:30:32.441735
20501680000,Giant Cantaloupe Chunks,4.19,APX 9.6 OZ,Our Brand,,Produce,2098,2025-06-19T16:30:32.442736
4705,Poblano Peppers,0.87,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:32.442736
7774529185,Giant Chef Salad Bowl with Turkey & Ham,4.49,7.75 OZ BWL,Our Brand,,Produce,2098,2025-06-19T16:30:32.443737
