status,name,pid,upc,id,storeId,featured,inventoryAvailable,pastPurchased,restrictedValue,salesRank,agreementId,featuredProductId,imageUrl,price,promoDescription,promoText,promoType,promoEndDate,basePrice,basePricePer,pricePer,displayType,aisleId,aisleName,departmentName,shelfName,shelfNameWithId,snapEligible,unitOfMeasure,sellByWeight,averageWeight,unitQuantity,displayUnitQuantityText,displayEstimateText,previousPurchaseQty,maxPurchaseQty,minWeight,maxWeight,isHhcProduct,prop65WarningTypeCD,prop65WarningText,prop65WarningIconRequired,isArProduct,isMtoProduct,isCustomizable,inStoreShoppingElig,preparationTime,isMarketplaceItem,algoType,triggerQuantity,eventTracking,idOfAisle,idOfShelf,idOfDepartment,warnings,requiresReturn,channelEligibility,channelInventory,productReview,itemSizeQty,itemPackageQty,itemRetailSect,category_name,category_id,parent_category,aisleLocation,shelfXcoordinateNbr,shelfYcoordinateNbr,slotXcoordinateNbr,slotYcoordinateNbr,fixtureXcoordinateNbr,fixtureYcoordinateNbr,aislePositionTxt,shelfDimensionDpth,bestSellerRank,dispItemSizeQty,dispItemPackageQty,dispUnitOfMeasure,pageUrl,sellerId,sellerName,isPreOrderItem,serviceDeptNum,fulfillmentStartTime,fulfillmentEndTime,fulfillmentStartTimeSaturday,fulfillmentEndTimeSaturday,fulfillmentStartTimeSunday,fulfillmentEndTimeSunday
active,Blueberry Bread Pudding - Each,970483617,0022316500000,970483617,2912,False,1,False,0,99999,0.0,0.0,https://images.albertsons-media.com/is/image/ABS/970483617,5.49,,,,,5.49,5.49,5.49,-1,1_2_8_1,Desserts & Cheesecakes|1_2_8,Bread & Bakery,Cheesecake & Cream Cakes,Cheesecake & Cream Cakes|1_2_8_1,True,EA,I,['0.000'],EACH,ea,,0,20,0.000,0.000,False,,,False,False,False,False,False,0,N,,0,,1_2_8,1_2_8_1,1_2,"[{'foodIndicator': '', 'warnMsgTxt': '', 'warningSourceNm': ''}]",False,"{'pickUp': True, 'delivery': True, 'inStore': True, 'shipping': False}","{'delivery': '1', 'pickup': '1', 'instore': '1', 'shipping': '0'}","{'avgRating': '0.0', 'reviewCount': '0', 'isReviewWriteEligible': 'true', 'isReviewDisplayEligible': 'true', 'isForOnetimeReview': 'true', 'reviewTemplateType': 'default'}",1,1,316,Bread & Bakery > Desserts & Cheesecakes,1_2_8,Bread & Bakery,,,,,,,,,,,,,,,,,,,,,,,,
active,Cream Puffs 1ct,960484073,0022233100000,960484073,2912,False,1,False,0,99999,0.0,0.0,https://images.albertsons-media.com/is/image/ABS/960484073,2.99,,,,,2.99,2.99,2.99,-1,1_2_8_1,Desserts & Cheesecakes|1_2_8,Bread & Bakery,Cheesecake & Cream Cakes,Cheesecake & Cream Cakes|1_2_8_1,True,EA,I,['0.000'],EACH,ea,,0,20,0.000,0.000,False,,,False,True,False,False,False,0,N,,0,,1_2_8,1_2_8_1,1_2,"[{'foodIndicator': '', 'warnMsgTxt': '', 'warningSourceNm': ''}]",False,"{'pickUp': True, 'delivery': True, 'inStore': True, 'shipping': False}","{'delivery': '1', 'pickup': '1', 'instore': '1', 'shipping': '0'}","{'avgRating': '0.0', 'reviewCount': '0', 'isReviewWriteEligible': 'true', 'isReviewDisplayEligible': 'true', 'isForOnetimeReview': 'true', 'reviewTemplateType': 'default'}",1,1,316,Bread & Bakery > Desserts & Cheesecakes,1_2_8,Bread & Bakery,,,,,,,,,,,,,,,,,,,,,,,,
active,Rise Lemon Meringue Pie - 22.5 OZ,971294372,0084019540137,971294372,2912,False,1,False,0,99999,0.0,0.0,https://images.albertsons-media.com/is/image/ABS/971294372,10.99,,,,,10.99,0.49,0.49,-1,1_2_8_3,Desserts & Cheesecakes|1_2_8,Bread & Bakery,"Pies, Tarts & Cobblers","Pies, Tarts & Cobblers|1_2_8_3",True,OZ,I,['0.000'],OUNCE,ea,,0,20,0.000,0.000,False,,,False,False,False,False,False,0,N,,0,,1_2_8,1_2_8_3,1_2,"[{'foodIndicator': '', 'warnMsgTxt': '', 'warningSourceNm': ''}]",False,"{'pickUp': True, 'delivery': True, 'inStore': True, 'shipping': False}","{'delivery': '1', 'pickup': '1', 'instore': '1', 'shipping': '0'}","{'avgRating': '0.0', 'reviewCount': '0', 'isReviewWriteEligible': 'true', 'isReviewDisplayEligible': 'true', 'isForOnetimeReview': 'true', 'reviewTemplateType': 'default'}",22.5,1,316,Bread & Bakery > Desserts & Cheesecakes,1_2_8,Bread & Bakery,,,,,,,,,,,,,,,,,,,,,,,,
active,Chocolate Cream Puff Large 1 Count - Each,970859837,0025150000000,970859837,2912,False,0,False,0,99999,0.0,0.0,https://images.albertsons-media.com/is/image/ABS/970859837,3.49,,,,,3.49,3.49,3.49,-1,1_2_8_2,Desserts & Cheesecakes|1_2_8,Bread & Bakery,Cream Desserts,Cream Desserts|1_2_8_2,True,EA,I,['0.000'],EACH,ea,,0,20,0.000,0.000,False,,,False,True,False,False,False,0,N,,0,,1_2_8,1_2_8_2,1_2,"[{'foodIndicator': '', 'warnMsgTxt': '', 'warningSourceNm': ''}]",False,"{'pickUp': True, 'delivery': True, 'inStore': True, 'shipping': False}","{'delivery': '0', 'pickup': '0', 'instore': '0', 'shipping': '0'}","{'avgRating': '0.0', 'reviewCount': '0', 'isReviewWriteEligible': 'true', 'isReviewDisplayEligible': 'true', 'isForOnetimeReview': 'true', 'reviewTemplateType': 'default'}",1,1,316,Bread & Bakery > Desserts & Cheesecakes,1_2_8,Bread & Bakery,,,,,,,,,,,,,,,,,,,,,,,,
active,Bakery Pie Sweet Potato Whip Cream 11 Inch - Each,960080395,0027838400000,960080395,2912,False,0,False,0,99999,0.0,0.0,https://images.albertsons-media.com/is/image/ABS/960080395,6.0,,,,,6.0,6.0,6.0,-1,1_2_8_1,Desserts & Cheesecakes|1_2_8,Bread & Bakery,Cheesecake & Cream Cakes,Cheesecake & Cream Cakes|1_2_8_1,True,EA,I,['0.000'],EACH,ea,,0,20,0.000,0.000,False,,,False,True,False,False,False,0,N,,0,,1_2_8,1_2_8_1,1_2,"[{'foodIndicator': '', 'warnMsgTxt': '', 'warningSourceNm': ''}]",False,"{'pickUp': True, 'delivery': True, 'inStore': True, 'shipping': False}","{'delivery': '0', 'pickup': '0', 'instore': '0', 'shipping': '0'}","{'avgRating': '0.0', 'reviewCount': '0', 'isReviewWriteEligible': 'true', 'isReviewDisplayEligible': 'true', 'isForOnetimeReview': 'true', 'reviewTemplateType': 'default'}",1,1,316,Bread & Bakery > Desserts & Cheesecakes,1_2_8,Bread & Bakery,,,,,,,,,,,,,,,,,,,,,,,,
active,Large Eclair - Each,970889062,0025020500000,970889062,2912,False,0,False,0,99999,0.0,0.0,https://images.albertsons-media.com/is/image/ABS/970889062,3.49,,,,,3.49,3.49,3.49,-1,1_2_8_1,Desserts & Cheesecakes|1_2_8,Bread & Bakery,Cheesecake & Cream Cakes,Cheesecake & Cream Cakes|1_2_8_1,True,EA,I,['0.000'],EACH,ea,,0,20,0.000,0.000,False,,,False,True,False,False,False,0,N,,0,,1_2_8,1_2_8_1,1_2,"[{'foodIndicator': '', 'warnMsgTxt': '', 'warningSourceNm': ''}]",False,"{'pickUp': True, 'delivery': True, 'inStore': True, 'shipping': False}","{'delivery': '0', 'pickup': '0', 'instore': '0', 'shipping': '0'}","{'avgRating': '2.0', 'reviewCount': '1', 'isReviewWriteEligible': 'true', 'isReviewDisplayEligible': 'true', 'isForOnetimeReview': 'true', 'reviewTemplateType': 'default'}",1,1,316,Bread & Bakery > Desserts & Cheesecakes,1_2_8,Bread & Bakery,,,,,,,,,,,,,,,,,,,,,,,,
active,Pumpkin Handheld Pie 4 Count - Each,970591812,0025009300000,970591812,2912,False,0,False,0,99999,0.0,0.0,https://images.albertsons-media.com/is/image/ABS/970591812,4.0,,,,,4.0,4.0,4.0,-1,1_2_8_3,Desserts & Cheesecakes|1_2_8,Bread & Bakery,"Pies, Tarts & Cobblers","Pies, Tarts & Cobblers|1_2_8_3",True,EA,I,['0.000'],EACH,ea,,0,20,0.000,0.000,False,,,False,False,False,False,False,0,N,,0,,1_2_8,1_2_8_3,1_2,"[{'foodIndicator': '', 'warnMsgTxt': '', 'warningSourceNm': ''}]",False,"{'pickUp': True, 'delivery': True, 'inStore': True, 'shipping': False}","{'delivery': '0', 'pickup': '0', 'instore': '0', 'shipping': '0'}","{'avgRating': '0.0', 'reviewCount': '0', 'isReviewWriteEligible': 'true', 'isReviewDisplayEligible': 'true', 'isForOnetimeReview': 'true', 'reviewTemplateType': 'default'}",1,1,316,Bread & Bakery > Desserts & Cheesecakes,1_2_8,Bread & Bakery,,,,,,,,,,,,,,,,,,,,,,,,
active,Lyman Orchard Lemon Meringue Pie - EA,970384262,0022188400000,970384262,2912,False,0,False,0,99999,0.0,0.0,https://images.albertsons-media.com/is/image/ABS/970384262,8.29,,,,,8.29,8.29,8.29,-1,1_2_8_3,Desserts & Cheesecakes|1_2_8,Bread & Bakery,"Pies, Tarts & Cobblers","Pies, Tarts & Cobblers|1_2_8_3",True,EA,I,['0.000'],EACH,ea,,0,20,0.000,0.000,False,,,False,False,False,False,False,0,N,,0,,1_2_8,1_2_8_3,1_2,"[{'foodIndicator': '', 'warnMsgTxt': '', 'warningSourceNm': ''}]",False,"{'pickUp': True, 'delivery': True, 'inStore': True, 'shipping': False}","{'delivery': '0', 'pickup': '0', 'instore': '0', 'shipping': '0'}","{'avgRating': '1.0', 'reviewCount': '1', 'isReviewWriteEligible': 'true', 'isReviewDisplayEligible': 'true', 'isForOnetimeReview': 'true', 'reviewTemplateType': 'default'}",1,1,316,Bread & Bakery > Desserts & Cheesecakes,1_2_8,Bread & Bakery,,,,,,,,,,,,,,,,,,,,,,,,
active,Parfait Cookies N Creme - EA,970057923,0028919900000,970057923,2912,False,1,False,0,99999,0.0,0.0,https://images.albertsons-media.com/is/image/ABS/970057923,4.0,,,,,4.0,4.0,4.0,-1,1_2_8_1,Desserts & Cheesecakes|1_2_8,Bread & Bakery,Cheesecake & Cream Cakes,Cheesecake & Cream Cakes|1_2_8_1,True,EA,I,['0.000'],EACH,ea,,0,20,0.000,0.000,False,,,False,True,False,False,False,0,N,,0,,1_2_8,1_2_8_1,1_2,"[{'foodIndicator': '', 'warnMsgTxt': '', 'warningSourceNm': ''}]",False,"{'pickUp': True, 'delivery': True, 'inStore': True, 'shipping': False}","{'delivery': '1', 'pickup': '1', 'instore': '1', 'shipping': '0'}","{'avgRating': '0.0', 'reviewCount': '0', 'isReviewWriteEligible': 'true', 'isReviewDisplayEligible': 'true', 'isForOnetimeReview': 'true', 'reviewTemplateType': 'default'}",1,1,316,Bread & Bakery > Desserts & Cheesecakes,1_2_8,Bread & Bakery,,,,,,,,,,,,,,,,,,,,,,,,
active,Peach Cobbler - EA,970353076,0022238500000,970353076,2912,False,1,False,0,99999,0.0,0.0,https://images.albertsons-media.com/is/image/ABS/970353076,5.0,,,,,5.0,5.0,5.0,-1,1_2_8_3,Desserts & Cheesecakes|1_2_8,Bread & Bakery,"Pies, Tarts & Cobblers","Pies, Tarts & Cobblers|1_2_8_3",True,EA,I,['0.000'],EACH,ea,,0,20,0.000,0.000,False,,,False,False,False,False,False,0,N,,0,,1_2_8,1_2_8_3,1_2,"[{'foodIndicator': '', 'warnMsgTxt': '', 'warningSourceNm': ''}]",False,"{'pickUp': True, 'delivery': True, 'inStore': True, 'shipping': False}","{'delivery': '1', 'pickup': '1', 'instore': '1', 'shipping': '0'}","{'avgRating': '0.0', 'reviewCount': '0', 'isReviewWriteEligible': 'true', 'isReviewDisplayEligible': 'true', 'isForOnetimeReview': 'true', 'reviewTemplateType': 'default'}",1,1,316,Bread & Bakery > Desserts & Cheesecakes,1_2_8,Bread & Bakery,,,,,,,,,,,,,,,,,,,,,,,,
